id,brand,customer_text,intent,risk,human_reply_ok
g001,Spotify,I was charged twice for Premium,billing,0,1
g002,Spotify,I was charged today for Premium,billing,0,1
g003,Spotify,I was charged after renewal for Premium,billing,0,1
g004,Spotify,I was charged a second time for Premium,billing,0,1
g005,Spotify,I was charged this month for Premium,billing,0,1
g006,Spotify,I was charged for last month for Premium,billing,0,1
g007,Spotify,I was charged after upgrading for Premium,billing,0,1
g008,Spotify,I was charged unexpectedly for Premium,billing,0,1
g009,Spotify,I was charged on my card for Premium,billing,0,1
g010,Spotify,I was charged for a subscription for Premium,billing,0,1
g011,Spotify,I was charged again for Premium,billing,0,1
g012,Spotify,I was charged when I cancelled for Premium,billing,0,1
g013,Spotify,I was charged but I was promised a trial for Premium,billing,0,1
g014,Spotify,I was charged for Premium for Premium,billing,0,1
g015,Spotify,I was charged and need help for Premium,billing,0,1
g016,Spotify,How do I cancel my Premium plan?,cancellation,0,1
g017,Spotify,How do I cancel my subscription plan?,cancellation,0,1
g018,Spotify,How do I cancel my student plan?,cancellation,0,1
g019,Spotify,How do I cancel my family plan?,cancellation,0,1
g020,Spotify,How do I cancel my paid plan?,cancellation,0,1
g021,Spotify,How do I cancel my current plan?,cancellation,0,1
g022,Spotify,How do I cancel my monthly plan?,cancellation,0,1
g023,Spotify,How do I cancel my annual plan?,cancellation,0,1
g024,Spotify,How do I cancel my my plan?,cancellation,0,1
g025,Spotify,How do I cancel my the account plan?,cancellation,0,1
g026,Spotify,How do I cancel my today plan?,cancellation,0,1
g027,Spotify,How do I cancel my before renewal plan?,cancellation,0,1
g028,Spotify,How do I cancel my right now plan?,cancellation,0,1
g029,Spotify,How do I cancel my without losing playlists plan?,cancellation,0,1
g030,Spotify,How do I cancel my from my phone plan?,cancellation,0,1
g031,Spotify,I cannot log into my account,account_access,0,1
g032,Spotify,I cannot sign into my account,account_access,0,1
g033,Spotify,I cannot get into my account,account_access,0,1
g034,Spotify,I cannot access into my account,account_access,0,1
g035,Spotify,I cannot sign into my account,account_access,0,1
g036,Spotify,I cannot log into my account,account_access,0,1
g037,Spotify,I cannot open into my account,account_access,0,1
g038,Spotify,I cannot recover into my account,account_access,0,1
g039,Spotify,I cannot verify into my account,account_access,0,1
g040,Spotify,I cannot get into my account,account_access,0,1
g041,Spotify,I cannot sign into my account,account_access,0,1
g042,Spotify,I cannot log into my account,account_access,0,1
g043,Spotify,I cannot access into my account,account_access,0,1
g044,Spotify,I cannot enter into my account,account_access,0,1
g045,Spotify,I cannot use into my account,account_access,0,1
g046,Spotify,Someone changed my email my account,account_security,1,0
g047,Spotify,Someone logged in my account,account_security,1,0
g048,Spotify,Someone took over my account,account_security,1,0
g049,Spotify,Someone was hacked my account,account_security,1,0
g050,Spotify,Someone has an unknown login my account,account_security,1,0
g051,Spotify,Someone changed my password my account,account_security,1,0
g052,Spotify,Someone is compromised my account,account_security,1,0
g053,Spotify,Someone was accessed my account,account_security,1,0
g054,Spotify,Someone has another user my account,account_security,1,0
g055,Spotify,Someone was stolen my account,account_security,1,0
g056,Spotify,Someone is not mine my account,account_security,1,0
g057,Spotify,Someone has a strange device my account,account_security,1,0
g058,Spotify,Someone was hacked today my account,account_security,1,0
g059,Spotify,Someone has fraud my account,account_security,1,0
g060,Spotify,Someone looks unsafe my account,account_security,1,0
g061,Spotify,The app is crashing on my phone,technical_issue,0,1
g062,Spotify,The app is not opening on my phone,technical_issue,0,1
g063,Spotify,The app is showing an error on my phone,technical_issue,0,1
g064,Spotify,The app is freezing on my phone,technical_issue,0,1
g065,Spotify,The app is closing on my phone,technical_issue,0,1
g066,Spotify,The app is stuck on my phone,technical_issue,0,1
g067,Spotify,The app is broken on my phone,technical_issue,0,1
g068,Spotify,The app is slow on my phone,technical_issue,0,1
g069,Spotify,The app is not loading on my phone,technical_issue,0,1
g070,Spotify,The app is failing on my phone,technical_issue,0,1
g071,Spotify,The app is blank on my phone,technical_issue,0,1
g072,Spotify,The app is unresponsive on my phone,technical_issue,0,1
g073,Spotify,The app is glitchy on my phone,technical_issue,0,1
g074,Spotify,The app is down on my phone,technical_issue,0,1
g075,Spotify,The app is stopping on my phone,technical_issue,0,1
g076,Spotify,My music keeps pausing,playback,0,1
g077,Spotify,My music keeps buffering,playback,0,1
g078,Spotify,My music keeps skipping,playback,0,1
g079,Spotify,My music keeps stuttering,playback,0,1
